BYU_SITE_ID,latitude,longitude,weir_length
19,36.12085558,-95.98829985,100
26,41.57938729,-93.6095617,100
27,41.59147444,-93.61874059,100
28,42.07736533,-93.93657163,100
36,41.94429789,-91.6305685,100
38,41.65784386,-91.54076815,100
44,45.83959341,-92.93931484,100
49,39.48619072,-86.42955065,100
57,40.55117855,-80.20345688,100
66,40.24907507,-76.87785298,100
77,48.596351,-97.15270042,100
79,47.77402408,-96.61540031,100
93,47.94211599,-97.04820693,100
97,40.48925964,-79.91390705,100
114,40.84994956,-76.80795193,100
116,40.61335439,-79.71715487,100
129,42.04121058,-88.28933001,100
132,42.16565744,-88.29008102,100
152,38.94831011,-77.12955952,100
177,39.41291206,-84.55603838,100
231,42.89565405,-95.2448988,100
235,42.97443955,-85.67464828,100
236,46.91980596,-97.99822927,100
250,41.08204258,-85.11639476,100
269,43.066292,-92.680314,100
271,32.52131331,-87.87888665,100
272,37.53129954,-77.44268491,100
343,42.74578912,-84.55007804,100
349,41.86019339,-95.99680293,100
